Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3840,0,370,19,113.22,0.00
a20,hhi_MST,0.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,1.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,1.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,2.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,2.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,3.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,3.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,4.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,4.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,5.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,7.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,10.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,25.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,50.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,75.00,3840,0,376,19,114.22,0.00
a20,hhi_MST,100.00,3840,0,362,19,128.43,0.00
a20,hhi_MST,200.00,3840,0,362,19,128.43,0.00
a280,hhi_MST,0.00,3840,0,3753,271,132.94,0.00
a280,hhi_MST,0.50,3840,0,3847,271,133.10,0.00
a280,hhi_MST,1.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,1.50,3840,0,3847,271,133.10,0.00
a280,hhi_MST,2.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,2.50,3840,0,3847,271,133.10,0.00
a280,hhi_MST,3.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,3.50,3840,0,3847,271,133.10,0.00
a280,hhi_MST,4.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,4.50,3840,0,3847,271,133.10,0.00
a280,hhi_MST,5.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,7.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,10.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,25.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,50.00,3840,0,3555,275,132.16,0.00
a280,hhi_MST,75.00,3840,0,3555,275,132.16,0.00
a280,hhi_MST,100.00,3840,0,3555,275,132.16,0.00
a280,hhi_MST,200.00,3840,0,3630,276,135.15,0.00
xql662,hhi_MST,0.00,3840,0,3341,655,127.74,0.00
xql662,hhi_MST,0.50,3840,0,3548,647,126.35,0.00
xql662,hhi_MST,1.00,3840,0,3443,649,127.44,0.00
xql662,hhi_MST,1.50,3840,0,3441,649,127.60,0.00
